序号,集团公司,电厂,工作内容（具体全面）,工作地点,计划开始时间,计划结束时间,风险等级（根据本厂管理要求确定：高/中/低/可接受）,作业类型(技改/定检/安装/更换/其它),管控层级（班组级/部门级/厂级）,专业（保护、自动化、安自）,计划状态（是否已列入电网月度停电检修计划）,调度是否发布电网风险及对应的风险等级（如：是，三级风险/否）,备注
1,国投（广西公司）,龙门风电场,220kV#1主变的220kV门傍线线路保护重合闸做传动试验（配合220kV傍浦电站）,龙门风电场继保室,2025年8月10日,2025年8月15日,低风险,其他,部门级,保护,是,否,无
3,国投（广西公司）,珍珠塘风电场,"1、珍珠塘风电场安稳系统接入中调主站调试
2、220kV#1、#2主变2001开关、2002开关传动试验
3、配合220kV珍垌线线路保护重合闸开展传动试验（配合220kV垌村变电站）",珍珠塘风电场继保室,2025年8月11日,2025年8月15日,低风险,其他,部门级,保护,是,否,无
4,国家电投集团广西公司,国家电投南宁新能源集控中心,国家电投南宁新能源集控中心调度通信服务器通信蓄电池充放电试验,国家电投南宁新能源集控中心二号生产数据服务器机房,2025年8月5日,2025年8月10日,可接受风险,定检,班组级,通信,否,否,无
5,法电优能（北京）投资有限公司,梓坪风电场,"1、220kV主变保护定检
2、220kV母线保护定检
3、220kV线路保护定检",梓坪风电场继保室,2025年8月20日,2025年8月23日,低风险,定检,厂级,保护,是,否,无
6,国能广西公司,桃花风电场,1.220kV主变保护定检；2.220kV母线保护定检或传动试验；3.220kV线路保护定检；4.220kV断路器保护定检；35kV线路保护定检；35kV接地变定检,桃花风电场继保室,2025年8月10日,2025年8月14日,低风险,定检,班组级,保护,是,否,无
7,国能广西公司,桃花风电场,220kV安自设备（稳控装置、孤岛装置、故障解列装置等）定检,桃花风电场继保室,2025年8月10日,2025年8月14日,低风险,定检,班组级,安自,是,否,无
8,国能广西公司,桃花风电场,1.蓄电池充放电不影响业务或导致非生产实时控制业务中断；2.220kV及以上厂站交流不间断电源定检；,桃花风电场继保室,2025年8月10日,2025年8月14日,低风险,定检,班组级,通信,是,否,无
9,国能广西公司,桃花风电场,220kV厂站远动装置、PMU、AGC/AVC、交换机、监控后台、220kV电压等级测控定检,桃花风电场继保室,2025年8月10日,2025年8月14日,低风险,定检,班组级,自动化,是,否,无
10,华电集团,沃岭风电场,1、220kV#1主变、#2主变、#3主变保护装置全检,沃岭风电场继保室,2025年8月15日,2025年8月31日,低风险,定检,班组级,保护,是,否,无
11,华电集团,沃岭风电场,安自装置跳闸出口改造,沃岭风电场继保室,2025年8月15日,2025年8月31日,低风险,定检,班组级,保护,是,否,无
12,法电优能（北京）投资有限公司,归同风电场,"1、220kV主变保护定检
2、220kV母线保护定检
3、220kV线路保护定检",归同风电场继保室,2025年8月20日,2025年8月23日,低风险,定检,车间级管控,保护,是,豆,无
13,国家能源集团,六景光伏电站,全站停电预试,六景光伏电站,2025年8月15日,2025年8月18日,低风险,定检,车间级管控,保护,是,否,无
14,贵港中能建新能源有限公司,220kV榕木光伏电站,"垌心风电场新建二次柜接入榕木光伏电站原有二次柜
1、同步向量柜端子排连接
2、公用测控柜端子排连接
3、35kV母线保护屏端子排连接
4、电能量远方终端柜端子排连接
5、时钟同步柜端子排连接",220kV榕木光伏电站继保室,2025年8月14日,2025年8月20日,低风险,其他,班组级,保护、自动化,是,否,无
15,贵港中能建新能源有限公司,220kV樟木光伏电站,"樟木风电场新建二次柜接入樟木光伏电站原有二次柜
1、同步向量柜端子排连接
2、公用测控柜端子排连接
3、35kV母线保护屏端子排连接
4、电能量远方终端柜端子排连接
6、时钟同步柜端子排连接",,2025年8月1日,2025年8月13日,低风险,其他,班组级,保护、自动化,是,否,无
16,贵港中能建新能源有限公司,220kV榕木光伏电站,"垌心风电场新建开关柜接入榕木光伏电站原有开关柜
1、35kV3#SVG柜、风电3柜、风电4柜安装
2、电缆敷设及接线
3、单体试验及二次调试
4、35kV3#SVG柜、风电3柜、风电4柜防火封堵制作及安装
5、35kV3#SVG柜、风电3柜、风电4柜母排及柜顶小母线分别与原有开关柜连接
6、35kV 2#SVG柜、IIM母线PT柜柜内电缆穿入及接线
7、35kV3#SVG柜、风电3柜、风电4柜母线耐压试验",220kV榕木光伏电站开关室,2025年8月16日,2025年8月19日,低风险,其他,班组级,保护,是,否,无
17,国家电投集团广西公司,220kV坵坪风电场,"1.全场停电，全站保护装置检验及传动（220kV线路、主变保护装置检验及传动）
2.小电源装置解列改造",220kV坵坪风电场继保室及对应送出线路、主变开关间隔,2025年8月23日,2025年8月31日,低风险,其他,班组级,保护,是,否,无
18,国能广西公司,汇能风电场,1.220kV主变保护定检；2.220kV母线保护定检或传动试验；3.220kV线路保护定检；4.220kV断路器保护定检；35kV线路保护定检；,汇能风电场继保室,2025年8月10日,2025年8月15日,低风险,其他,班组级,保护,是,否,无
19,国能广西公司,汇能风电场,220kV安自设备（稳控装置、孤岛装置、故障解列装置等）定检,汇能风电场继保室,2025年8月10日,2025年8月15日,低风险,其他,班组级,安自,是,否,无
20,国能广西公司,汇能风电场,1.蓄电池充放电不影响业务或导致非生产实时控制业务中断；2.220kV及以上厂站交流不间断电源定检；,汇能风电场继保室,2025年8月10日,2025年8月15日,低风险,其他,班组级,通信,是,否,无
21,国能广西公司,汇能风电场,220kV厂站远动装置、PMU、AGC/AVC、交换机、监控后台、220kV电压等级测控定检,汇能风电场继保室,2025年8月10日,2025年8月15日,低风险,其他,班组级,自动化,是,否,无
22,首欣集团,喜归坡风电场,安稳系统联调,喜归坡风电场继保室,2025年8月5日,2025年8月10日,低风险,其他,班组级,安自,是,否,无
23,国能广西公司,迅风风电场,1.220kV主变保护定检；2.220kV母线保护定检或传动试验；3.220kV线路保护定检；4.220kV断路器保护定检；35kV线路保护定检；,迅风风电场继保室,2025年8月25日,2025年8月29日,低风险,其他,班组级,保护,是,否,无
24,国能广西公司,迅风风电场,220kV安自设备（稳控装置、故障解列装置等）定检,迅风风电场继保室,2025年8月25日,2025年8月29日,低风险,其他,班组级,安自,是,否,无
25,国能广西公司,迅风风电场,1.蓄电池充放电不影响业务或导致非生产实时控制业务中断；2.220kV及以上厂站交流不间断电源定检；,迅风风电场继保室,2025年8月25日,2025年8月29日,低风险,其他,班组级,通信,是,否,无
26,国能广西公司,迅风风电场,220kV厂站远动装置、PMU、AGC/AVC、交换机、监控后台、220kV电压等级测控定检,迅风风电场继保室,2025年8月25日,2025年8月29日,低风险,其他,班组级,自动化,是,否,无
27,中国能源建设集团,濑滤电厂,"濑滤电厂220kV第一套母线保护接入220濑崇Ⅰ线间隔、220kV濑崇Ⅱ线间隔二次回路
濑滤电厂220kV第二套母线保护接入220濑崇Ⅰ线间隔、220kV濑崇Ⅱ线间隔二次回路",220KV升压站网控楼,2025年8月1号,2025年8月3号,中风险,安装,部门级,保护,是,三级风险,无
28,大唐集团,平班电厂,220kV失步解列装置定检,平班电厂继保室,2025年8月13号,2025年8月14号,中风险, 定检, 部门级, 安自,是,否,无
29,大唐集团,平班电厂,非关口电能表校验、二次压降及二次负荷测试,平班电厂继保室,2025年8月19号,2025年8月21号,低风险,定检,班组级,计量,否,否,无
30,国能广西公司,祥风风电场,220kV#1主变非电量保护装置通信更换插件,祥风风电场继保室,2025年8月10日,2025年8月15日,低风险,其他,班组级,保护,是,否,无
31,国能广西公司,俊风风风电场,1.220kV主变保护定检；2.220kV母线保护定检或传动试验；3.220kV线路保护定检；4.220kV断路器保护定检；35kV线路保护定检、220KV母线保护装置更换；,俊风风电场继保室,2025年8月20日,2025年8月25日,低风险,定检,班组级,保护,是,否,无
32,国能广西公司,俊风风风电场,220kV安自设备（稳控装置、故障解列装置等）定检,俊风风电场继保室,2025年8月20日,2025年8月25日,低风险,定检,班组级,安自,是,否,无
33,国能广西公司,俊风风风电场,1.蓄电池充放电不影响业务或导致非生产实时控制业务中断；2.220kV及以上厂站交流不间断电源定检；,俊风风电场继保室,2025年8月20日,2025年8月25日,低风险,定检,班组级,通信,是,否,无
34,国能广西公司,俊风风风电场,220kV厂站远动装置、PMU、AGC/AVC、交换机、监控后台、220kV电压等级测控定检,俊风风电场继保室,2025年8月20日,2025年8月25日,低风险,定检,班组级,自动化,是,否,无
35,国能广西公司,岚风风电场,1.220kV主变保护定检；2.220kV母线保护定检或传动试验；3.220kV线路保护定检；4.220kV断路器保护定检；35kV线路保护定检；,岚风风电场继保室,2025年8月10日,2025年8月15日,低风险,其他,班组级,保护,是,否,无
36,国能广西公司,岚风风电场,220kV安自设备（稳控装置、孤岛装置、故障解列装置等）定检,岚风风电场继保室,2025年8月10日,2025年8月15日,低风险,其他,班组级,安自,是,否,无
37,国能广西公司,岚风风电场,1.蓄电池充放电不影响业务或导致非生产实时控制业务中断；2.220kV及以上厂站交流不间断电源定检；,岚风风电场继保室,2025年8月10日,2025年8月15日,低风险,其他,班组级,通信,是,否,无
38,国能广西公司,岚风风电场,220kV厂站远动装置、PMU、AGC/AVC、交换机、监控后台、220kV电压等级测控定检,岚风风电场继保室,2025年8月10日,2025年8月15日,低风险,其他,班组级,自动化,是,否,无
39,广西大藤峡水利枢纽开发有限责任公司,浔州电厂,220kV出线场现地控制柜内开关电源故障消缺,220kV出线场配电室,2025年8月4日,2025年8月8日,低风险,其它,班组级,自动化,否,否,无
40,国投电力,钦州电厂,省保底网光传输设备安装调试,钦州电厂升压站,2025年8月1日,2025年8月15日,可接受风险,安装,班组级,通信,否,是,无
41,国投电力,钦州电厂,省网B业务通道割接至省传输保底网,钦州电厂升压站,2025年8月8号,2025年8月31日,低风险,其他,班组级,通信,否,是,无
